web-scraper-order,web-scraper-start-url,program_name,program_name-href,description,eligibilty_criteria
"1582865853-66","https://www.vu.edu.pk/pages/AllPrograms.aspx","B.Ed. (Hons.) Early Childhood Care and Education (4 Years)","https://www.vu.edu.pk/pages/BedHonsEarlyChildCareEducation.aspx","Early childhood education is the first phase of education including play group, nursery or Montessori school education to grade 3.  B.Ed. (Hons.) Early Childhood Care and Education degree program at Virtual University of Pakistan is designed to equip prospective teachers with holistic and multidimensional understanding of the child, teaching strategies and an in-depth knowledge of educational challenges for early childhood education. The core objective of this program is to raise the content knowledge and equip prospective teachers in the area of child growth and development and the best ways to foster children's cognitive, physical, emotional and social development. It will also prepare the students for managing ECCE programs in an effective way and help them establish their own ECCE schools.","Intermediate (equivalent to 12 years of education) with at least 45% marks"
"1582865838-59","https://www.vu.edu.pk/pages/AllPrograms.aspx","MS (Business Administration)","https://www.vu.edu.pk/pages/msba_mba.aspx","null","Candidates having 16-year education [BS in Business Administration, BS in Commerce, BBA (Accounting & Finance), BBA (Banking & Finance), BS (Accounting & Finance), BS (Banking & Finance), BBA(IT/MIS), BS (Management), BS (Marketing), MBA (Accounting & Finance), MBA (Banking & Finance), MBA (IT/MIS), Old MBA, MBS, M.Com, ACMA, ACA, and VU graduates holding BS (Public Administration), Master of Accounting, Master of Finance, Master of Accounting & Finance,  Master of Banking & Finance and MBA-Executive (72-Cr. Hrs.)] degrees and other relevant equivalent qualification with at least Cumulative Grade Point Average (CGPA) 2.50 out of 4 / 1st division, wherein GPA system is not implemented, are eligible to apply. However, the candidates will also be required to qualify VU Entry Test (with minimum 50% marks)."
"1582865894-86","https://www.vu.edu.pk/pages/AllPrograms.aspx","Television Production","https://www.vu.edu.pk/pages/pgdtp.aspx","The key feature of Post Graduate Diploma in Television Production would be to bring top notch performers and technicians of television industry in forefront for imparting theoretical knowledge strongly backed by their wide expertise of the field. The diploma program is expected to be a great area of interest in general for students of Mass Communication who are aspiring to have bright future in electronic media and in particular to working professionals who intend to improve their qualification within their tough work routine. Having a full-fledged developed set-up of TV station for the hands on training of the students, Virtual University’s diploma program would have an edge over other Universities PGD programs with reference to providing a sound field exposure to its prospect students.","Bachelor’s / Associate degree from a recognized university/ institute in any discipline with at least 45% marks or CGPA 2.00 out of 4."
"1582865903-90","https://www.vu.edu.pk/pages/AllPrograms.aspx","Arts","https://www.vu.edu.pk/pages/AssociateDegree_Arts.aspx","The Associate Degree in Arts program is a regular 2-year degree program in which students are offered with a combination of any two of areas from the available electives: Business, Journalism, Psychology, Computer Science and Education. After successful completion of two-year Associate Degree student has an option to continue 4-Year BS Commerce/ BS Psychology/ BS Mass Communication or BS Computer Science by taking remaining credit hours in at least 4-semesters.","Admission Eligibility Criteria"
"1582865797-39","https://www.vu.edu.pk/pages/AllPrograms.aspx","BS (Public Administration)","https://www.vu.edu.pk/pages/bspa.aspx","The Bachelor of Science program in Public Administration is designed to meet specific needs of public sector. There are different goals of this program which include:","Note"
"1582865880-79","https://www.vu.edu.pk/pages/AllPrograms.aspx","Computer Science","https://www.vu.edu.pk/pages/bscs.aspx","The Department of Computer Science offers a four-year program leading to either a BS degree in Computer Science. The specialization is determined by the choice of required and elective courses taken by a student. The programs are designed to meet the growing need for computer science experts in the rapidly evolving 21st century economy. Their mission is to provide graduates with strong Computer Science skills that will enable them to capitalize on the increasing career opportunities in the computer science sector, to expand the limits of their knowledge by pursuing further studies, and to explore innovative approaches to computer related problems. These specializations provide highly demanded expertise, a great mobility and flexibility, and an impressive range of possible career choices in the Computer Science industry.","Intermediate (equivalent to 12 years of education) with at least 45% marks."
"1582865748-16","https://www.vu.edu.pk/pages/AllPrograms.aspx","Biotechnology","https://www.vu.edu.pk/pages/MS_Biotechnology.aspx","MS in Biotechnology degree program is designed to gratify the needs of a multi-disciplinary and swiftly developing industry. Biotechnology affects a lot of facets of our daily lives such as food, crops, medicine, health and environment. The aim of the MS program is to equip students with the modern techniques so that they can play a key role in improving the ways of daily lives. The students may seek their career in educational institutes, scientific research, development, management in biotechnology, vaccines and pharmaceutical industry. They will also have expertise to critically analyze biological data using various computational techniques and tools.","16-year education i.e., BS/MSc in Zoology, Biology, Botany, BS in Biotechnology, Biological Sciences, Microbiology, Biochemistry, Environmental Sciences, Bioinformatics, Agriculture, Public health, MBBS, DVM or related sciences/ equivalent with at least 1st Division in annual system or at least CGPA 2.50 out of 4 in semester system."
"1582865813-47","https://www.vu.edu.pk/pages/AllPrograms.aspx","Public Administration (MPA)","https://www.vu.edu.pk/pages/mpa.aspx","Master of Public Administration (MPA) program offered by Department of Management Sciences has been designed to prepare the individuals who intend to serve as managers in the executive arm of local, provincial, federal governments, non-governmental, and nonprofit organizations etc. It mainly focuses on the roles, development and principles of public administration. It also gives insight  to public policy management and its implementation. It is an interdisciplinary study program drawing from fields such as anthropology, economics, law, political science, sociology and regional planning in order to equip MPA graduates with relevant skills and knowledge.","Note"
"1582865811-46","https://www.vu.edu.pk/pages/AllPrograms.aspx","BS (Accounting and Finance)","https://www.vu.edu.pk/pages/bsaccfin.aspx","The bachelor degree program in Accounting and Finance prepares students for entry-level positions in accounting and financial management. The program is designed to develop knowledge, skills, and abilities that will enable a student to cope successfully with the challenges of a rapidly evolving, global business and financial environment. The degree provides a strong foundation for a successful career in accounting and finance, and prepares highly motivated students for future graduate-level study.","Note"
"1582865900-89","https://www.vu.edu.pk/pages/AllPrograms.aspx","Mass Communication","https://www.vu.edu.pk/pages/AssociateDegree_MassCom.aspx","The Associate Degree in Mass Communication is a regular 2-year degree program which has been designed to equip the students with requisite knowledge and skills which would help them taking an early start of their professional career so that they can earn their livings and support their families too.","Admission Eligibility Criteria"
